username,clean_text_fix,label
radhynkania,stres baca berita covid demam panas dingin semalaman stres baca perdebatan sengit pemilihan berujung kontraksi palsu minggu,nonhoaks
BobbieTrussell,berhati hatilah berita palsu pertimbangkan berbagi netralitas pemilihan kunci wajib aparat negara mengetiklah tanggung jaga keberimbangan,nonhoaks
Fatimah57403657,pemilihan janji janji palsu masyarakat pembohongan publik berita hoaks,hoaks
WahidUnyax,lawan berita palsu hoaks disinformasi tercapainya pemilihan damai aman,nonhoaks
Kota_Tangerang,pemerintah kota pemerintahan kota tangerang dinas komunikasi informatika dinas komunikasi informatika mengajak masyarakat berpartisipasi kampanye pemilihan damai menerapkan langkah mencegah penyebaran hoaks berita palsu,nonhoaks
s3mut1reng,dimanfaatkan kelompok radikal menyebarkan hoaks berita palsu propaganda dirancang mempengaruhi pemilih menciptakan ketidakpercayaan prose pemilihan kepala kepolisian negara republik indonesia jendral listyo sigit mengimbau masyarakat menjaga persatuan,nonhoaks
BawasluJepara,ayo waspada diseminasi berita palsu hoaks berpotensi menajamkan polarisasi kampanye menciptakan pemilihan aman damai nyaman rakyat indonesia,nonhoaks
PolsekNgTaman1,menyebarkan berita palsu hoaks periode pemilihan merugikan merusak prose demokrasi menyebarkan informasi mempengaruhi persepsi publik memicu ketegangan mengganggu integritas pemilihan,nonhoaks
nanga_mahap,menyebarkan berita palsu hoaks periode pemilihan merugikan merusak prose demokrasi menyebarkan informasi mempengaruhi persepsi publik memicu ketegangan mengganggu integritas pemilihan ayo menciptakan pemilihan aman damai berita hoaks,nonhoaks
PSegedong,menyebarkan berita palsu hoaks periode pemilihan merugikan merusak prose demokrasi menyebarkan informasi mempengaruhi persepsi publik memicu ketegangan mengganggu integritas pemilihan ayo menciptakan pemilihan aman damai berita hoaks,nonhoaks
Humas_polresstg,menyebarkan berita palsu hoaks periode pemilihan merugikan merusak prose demokrasi ayo menciptakan pemilihan aman damai berita hoaks,nonhoaks
reslandak,menyebarkan berita palsu hoaks periode pemilihan merugikan merusak prose demokrasi menyebarkan informasi mempengaruhi persepsi publik memicu ketegangan mengganggu integritas pemilihan ayo menciptakan pemilihan aman damai,nonhoaks
PolresBengkaya1,menyebarkan berita palsu hoaks periode pemilihan merugikan merusak prose demokrasi menyebarkan informasi mempengaruhi persepsi publik memicu ketegangan mengganggu integritas pemilihan,nonhoaks
faidah_fazma,hindari berita palsu informasi merusak mari jaga pemilihan kebijaksanaan,nonhoaks
Nday20394043227,menyikapi komentar negatif mencatut nama prabowo subianto menghadapi mendekati pemilihan merasakan lonjakan komentar negatif berita palsu hoaks seringkali mencatut nama prabowo subianto djojohadikusumo,nonhoaks
kominfodiy,saudara terjebak berita palsu seputar pemilihan mari menggali ciri ciri berita hoaks muncul identifikasi sumber informasi verifikasi keabsahan perhatikan konteksnya,nonhoaks
kompasiana,salah ancaman terbesar pelaksanaan pemilihan kali maraknya disinformasi penyebaran berita palsu hoaks platform digital mengancam merusak mengacaukan sendi sendi demokrasi,nonhoaks
cre4tor,lelah pemilihan dipakai era penjajahan zaman belanda suka dijajah kerjanya menghasut adu domba sebar berita palsu heran malas,hoaks
