original,replacement
kepalanya batu,keras kepala
uu ite,undang undang informasi dan transaksi elektronik
sure pay,survei
copras capres,cocok cocokan calon presiden
dr pratama persadha,dokter pratama persadha
false news,berita palsu
nggak papa,tidak apa
live session,sesi langsung
irjen pol dr sandi nugroho sik sh mhum ,inspektur jenderal polisi doktor sandi nugroho sarjana hukum magister humaniora
quick count,perhitungan cepat hasil pemilu
kaya gini,seperti ini
cawe cawe,ikut menangani
saling lobi,saling mendukung
bem umsida,badan eksekutif mahasiswa universitas muhammadiyah sidoarjo
neo orba,orde baru masa kini
non budgeter,bukan pembuat anggaran
kowar koar,menggebu gebu
kick out,menendang keluar
poli tikus,politikus
head to head,persaingan langsung antar dua orang
menghancuuur kan,menghancurkan
mahfud md,mohammad mahfud mahmodin
prabowo subianto k,prabowo subianto djojohadikusumo
plonga plengo,tercengang
planga plongo,tercengang
pelanga pelongo,tercengang
apeeees tenaan reeeek,sial banget kawan
stop dirty love,hentikan dukungan buta
mencla mencle,tidak dapat dipercaya
pak  lh,bapak  lah
birthday party,pesta ulang tahun
nyunat dana,memotong dana
keureut tah ceuli ucing mun abdi bohong,betul kan itu nyata ada buktinya kalau saya benar
nge jilat,menjilat
track record,rekam jejak
mana tau,tidak tahu
original post,unggahan orisinal
the post,unggahan
victim of rape,korban pemerkosaan
a lady,seorang wanita
her speech,pidatonya
big data,data besar
tandas bagja,kata bagja 
si mulut comberan,orang yang sering berbicara kasar
no more,tidak lagi
op neh to iki mbok yo ojo gumunan ojo kagetan ,ini apalagi kalau tidak dapat jangan kaget
gak ngerti dewe,kita tidak mengerti
hate speech,ujaran kebencian
hate spech,ujaran kebencian
money politik,politik uang
money politic,politik uang 
door to door system,kunjungan dari rumah ke rumah
cooling system,upaya menenangkan situasi
poke lu,sadar dong
call centre,pusat panggilan
not even,bahkan bukan
d telan,ditelan
back to basic,kembali ke prinsip dasar
counting down,menghitung mundur
a bunch of nonsense hoax,sekumpulan omong kosong
all in,totalitas
kadal gurun,politisi yang tidak konsisten
we ll nevery truly know,kita tidak akan pernah benar benar tahu
neo kadrun,politisi baru yang tidak konsisten
video jedeg jedug,video yang menghebohkan
banyak kali,banyak sekali
like wtf,seperti tidak masuk akal
what a news,berita yang bagus
political tyranny,pemerintahan otoriter
is totally,sungguh
sampah pasukan,tim
di manamana,dimana mana
jason script,skrip javascript
omon omon ,omongan
taik taik,tinja tinja
reply harun,refly harun
dibet rikan,diberikan
sebar kan,menyebarkan
ecek ecek,tidak sungguh sungguh
lap ker,lapangan kerja
pasca pemilu,pascapemilu
mengkotor kan,mengotorkan
video plus timestamp,video yang disertai stempel waktu
patuhaturan dewanpers,patuh aturan dewan pers
the facto,pada kenyataannya
copy paste,salin tempel
lha ya iya,lah iya iya
hax hox hoax,hoaks hoaks hoaks
the upside down logic,logika terbalik
death threat,ancaman pembunuhan
need to,perlu
the truth,kenyataan
a stupid,bodoh
tak botak,botak botak
audit forensic server,jaringan audit forensik
adem ayem,sejuk tenang tenteram
alam yg di salah,alam yang disalahkan
i am deleting his tiktok app fr,saya sungguh menghapus aplikasi tiktok dia
u katanya,kamu katanya
oh ya,oh iya
otak udang,bodoh
character development,pengembangan karakter
the better,lebih baik
playing victim,bersikap seolah olah menjadi korban
dikanal x tan jing,di saluran kali anjing
smp n,sekolah menengah pertama negeri
mark up,menaikkan
black campaigne,kampanye hitam
black campign,kampanye hitam
negative campign,kampanye negatif
negative campaig,kampanye negatif
money campaign,politik uang
take down,menurunkan
ip adress,alamat unik suatu perangkat
big boss,bos besar
mirip ppp,mirip
di sebarin,disebarkan
tolol x ,sangat bodoh
seduluran saklawase,persaudaraan abadi
gmt time,waktu standar greenwich
mulutamln muluthoakss,penyebar hoaks dan berita palsu
bijak bersosial media wal waspada hoaks pascapemilu,bijak bersosial media dan waspada hoaks pasca pemilihan umum
calon o,calon
publik amp bukan,publik dan bukan
sebar hoaks amp penggiringan opini,sebar hoaks dan penggiringan opini 
misleading context,konteks yang menyesatkan
polisi rusdi a,polisi rusdi
eduard s sembiring,eduard sembiring
di bannya,dilarang 
etika amp tidak menghargai,etika dan tidak menghargai 
tanpa hoaks amp pemilihan umum,tanpa hoaks dan pemilihan umum
lagimenghalalkan,lagi menghalalkan
aneh bin ajaib,aneh dan ajaib
plg menyebalkan,paling menyebalkan
stres amp mulai depresi,stres dan mulai depresi 
cak imin,muhaimin iskandar
amp coba,sampai coba
benar amp menyesatkan,benar dan menyesatkan 
kritik amp gugat,kritik dan gugat
hitam campignhoax,kampanye hitam hoaks
misleading content,konten yang menyesatkan
hitam amp politik uang,hitam dan politik uang
pasca pemilu,pasca pemilihan umum
wan angin wan janggar,wahai anis wahai ganjar
im maaf,saya minta maaf
memimih dirilis,memilih dirilis
keajaiban pa pemilihan,keajaiban pas pemilihan
setiadimembenarkan,setiadi membenarkan
